check_id,name,category,price,count
0,*3479755 ТRUF.Конф.кр.корп.гл.вк.шок180г,Чай и сладкое,49.0,2.0
0,3408392 ECONTA Мешки д/мусора 30л  30шт,Для дома,21.0,1.0
0,3260497 ЯШКИНО Рулет С ВАР.СГУЩ. 200г,Чай и сладкое,39.0,1.0
0,3300573 Пакет ПЯТЕРОЧКА 65х40см,Упаковка,4.0,1.0
0,3413607 ЗЕР/СЕЛ.Сухари с изюмом 250г,Чай и сладкое,35.0,1.0
0,3221388 ШАРЛ.Печенье вафел.рассыпч.225г,Чай и сладкое,38.0,1.0
0,"*97452 ПРОСТ.Кефир 3,2% 930г",Молочка,55.0,1.0
0,57575 MILFORD Зам.сахара доз.  650таб,Бакалея,119.0,1.0
0,29880 ПИСК.Ацидоб.2.2%сл.пюр-пак0.5л,Молочка,34.0,1.0
1,ШОКОЛАДНОЕ ЯЙЦО 20Г КИНДЕР СЮРПРИЗ ФЕРРЕ,Дети,49.0,1.0
1,СОК ФРУТОНЯНЯ 200МЛ ЯБЛОКО ОСВЕТЛЕННЫЙ Г,Дети,18.0,1.0
1,ПОМЕЛО ВЕС,Овощи и фрукты,55.0,1.278
1,"НЕКТАР СОЧНАЯ ДОЛИНА 0,95Л ГРАНАТ",Напитки,48.0,1.0
2, РАСТВОР ДЛЯ ЛИНЗ RE,Здоровье,377.0,1.0
3,Always Ultra Прокладки Нормал 30шт(П,Здоровье,175.0,1.0
3,НАТАЛИ Jeans Прокладки супер тонкие,Здоровье,28.0,2.0
3,OLA! Silk Sense Вл салфетки универс,Для дома,20.0,1.0
3,PANTENE PRO-V Бальз/оп Дополнительны,Косметика,199.0,1.0
3,GARNIER Чистая кожа Фрукт заряд Скра,Косметика,255.0,1.0
3,O.B. ProComfort Тампоны Normal 16шт,Здоровье,159.0,1.0
3,O.B. ProComfort Тампоны Mini 16шт (Д,Здоровье,159.0,1.0
4,B.YСТЮГ KЕФИP MДЖ 1% 470ГP         =,Молочка,19.0,2.0
4,"BМОЛK МОЛОКО ""ВOЛOГЖАHKA"" 1,5% 970 =",Молочка,27.0,1.0
