check_id,shop_name,datetime,sum
0,Не известно,2017-12-30 19:15:00,520.1
1,ЕВРОПА,2018-01-03 18:01:29,188.0
2,ПродвижениеФарм,2017-12-23 11:37:00,377.0
3,Не известно,2017-12-23 14:01:00,1024.0
4,ИП Роздухов М. Е.,2018-01-03 12:24:00,1542.16
5,ОРЕОЛ,2018-01-03 19:06:00,561.0
6,Агроторг,2018-01-03 19:25:00,204.0
7,Агроторг,2017-12-24 20:15:00,1029.08
8,Тандер,2018-01-02 16:55:00,296.8
9,,2017-12-03 13:08:00,403.0
10,Новый Книжный М,2017-12-29 12:54:18,304.0
11,,2017-12-28 11:37:00,759.0
12,АШАН,2017-12-28 12:06:00,98.3
13,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОСТИН,2017-12-24 18:28:00,538.0
14,Андора,2017-12-27 20:00:40,431.5
15,Газпромнефть-Центр,2017-11-30 13:58:00,1999.89
16,Табер Трейд,2017-12-28 18:47:46,269.0
17,ЭЛЕКТРОСТАЛЬСКИЙ ЦЕНТР УСЛУГ,2017-12-27 11:36:00,7371.0
18,Табер Трейд,2017-12-07 19:26:06,1081.0
19,Агроторг,2017-12-30 17:08:00,100.0
20,МЕРИДИАНА,2018-01-04 09:49:00,246.9
21,Агроторг,2018-01-01 15:12:00,101.4
30,ТД Перекресток,2018-01-04 11:15:00,827.0
31,АШАН,2018-01-04 12:39:00,584.0
32,ДЕТСКИЙ МИР,2018-01-04 12:12:00,1371.0
33,О Глория Джинс,2018-01-04 12:03:00,400.0
34,Лента,2018-01-02 13:38:00,258.0
35,Газпромнефть-Центр,2018-01-03 15:06:00,592.5
36,РН-Москва,2017-12-31 10:27:00,1212.24
37,Лента,2017-12-30 10:25:00,913.0
38,Лента,2018-01-04 12:54:00,2549.0
39,Агроторг,2018-01-04 15:56:00,180.0
41,Не известно,2018-01-02 12:50:00,505.19
42,О`КЕЙ,2018-01-04 19:32:00,325.5
43,О`КЕЙ,2018-01-04 19:01:00,1311.5
44,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОСТИН,2018-01-04 14:28:00,149.0
45,ОГУП <ЛИПЕЦKФАРМАЦИЯ>,2018-01-04 17:50:00,375.0
46,<ЛАСЕРТА №5>,2018-01-03 11:34:00,13080.0
47,Тандер,2018-01-04 19:56:00,158.3
48,Объединенные Системы Сбора Платы,2018-01-04 15:30:00,130.0
49,,2017-12-25 16:35:00,77.0
59,Не известно,2017-12-30 12:38:00,100.0
62,Тандер,2018-01-04 21:30:00,2056.05
63,Лента,2017-12-30 21:33:00,2047.0
64,Лента,2017-12-15 22:55:00,619.0
65,Эркафарм Северо-запад,2018-01-04 16:04:00,175.0
66,Не известно,2017-12-26 18:56:00,260.6
67,ТОРГОВЫЙ ДОМ,2018-01-03 21:34:00,308.85
68,Котон Текстиль,2018-01-04 16:19:00,4498.0
69,АКТИВ,2017-12-22 20:04:00,5515.9
70,СПАР МИДДЛ ВОЛГА,2018-01-02 15:12:00,496.92
73,ТД Интерторг,2018-01-03 23:04:00,229.0
74,Дикси ЮГ,2017-12-30 18:12:00,1120.0
75,АГРОТОРГ,2017-12-30 18:57:00,922.0
76,Дикси ЮГ,2017-12-30 18:10:00,189.0
77,Агроторг,2017-12-31 17:57:00,340.0
78,МЕРИДИАНА,2018-01-05 11:37:00,59.5
79,,2018-01-05 16:01:00,20.0
85,Бэст Прайс,2017-10-23 10:56:00,50.0
86,,2018-01-05 10:59:00,685.8
87,Лента,2018-01-05 11:23:00,1411.0
88,ИКЕА ДОМ,2018-01-02 16:24:00,1011.0
89,Не известно,2017-12-29 11:14:00,2590.0
90,Теремок - Русские Блины,2017-12-26 14:01:24,270.0
91,Эркафарм Северо-запад,2017-12-28 19:53:00,1506.0
92,АШАН,2017-12-25 17:42:00,1883.05
93,Не известно,2017-12-23 17:49:00,1820.05
94,ИП Туркин И.А.,2018-01-05 12:43:00,1070.0
95,Тандер,2018-01-03 13:21:00,636.0
96,Ирна,2018-01-05 19:29:00,692.0
97,З Москва-Макдоналдс,2017-12-12 09:28:56,225.0
98,Бургер Рус,2017-12-11 09:32:00,85.0
99,"Элемент-Трейд                            Сургут, Мира 15",2018-01-05 15:10:00,1073.0
100,Лента,2017-12-24 14:28:00,10490.0
101,Лента,2017-12-17 14:39:00,11095.0
102,Касторама РУС,2018-01-04 17:40:00,929.0
103,КЕА Груп,2017-12-27 10:48:00,319.0
104,Тандер,2018-01-02 11:42:00,549.3
105,ИП Шухов Б.А.,2018-01-05 14:32:00,293.0
106,Тандер,2018-01-02 15:04:00,558.0
107,ГЭС розница,2018-01-04 14:49:00,0.0
108,Не известно,2018-01-05 16:35:00,389.95
109,ЛУКОЙЛ-Северо-Западнефтепродукт,2018-01-03 11:56:00,1021.5
110,Лента,2018-01-05 17:33:00,819.0
111,ТД Интерторг,2018-01-05 10:11:00,47.5
112,ДЕТСКИЙ МИР,2018-01-05 15:54:00,1199.0
113,Не известно,2018-01-05 15:32:00,999.0
114,Анжела,2018-01-05 17:48:43,536.0
115,САKУРА,2018-01-04 13:27:00,5535.0
116,Лента,2018-01-05 19:26:00,2920.0
117,Дикси ЮГ,2018-01-05 17:55:00,205.0
118,АГРОТОРГ,2018-01-05 18:30:00,976.0
119,АГРОТОРГ,2018-01-05 17:28:00,520.0
120,АГРОТОРГ,2018-01-05 13:11:00,421.0
121,Союз Св. Иоанна Воина,2018-01-05 17:16:00,79.9
122,Не известно,2018-01-05 20:11:00,300.0
123,Т и К Продукты,2018-01-05 18:48:00,504.0
124,РКЦ-Димитровград,2017-11-13 16:39:00,5000.0
125,О'КЕЙ,2018-01-05 21:28:00,2835.0
126,Связной Логистика,2018-01-05 14:16:00,500.0
127,,2018-01-06 12:23:00,73.5
128,НИВА,2018-01-04 12:27:00,189.31
129,МЕРИДИАНА,2018-01-06 15:44:00,1385.47
130,Бургер Рус,2018-01-02 17:17:00,138.0
131,МАКДОНАЛДС,2018-01-06 11:56:56,161.0
132,АМЕТИСТ,2018-01-06 18:54:00,2517.0
133,Тандер,2017-12-18 19:54:00,498.0
134,Тандер,2018-01-05 17:14:00,614.59
135,Не известно,2017-12-30 16:18:00,248.6
136,Тандер,2017-12-30 16:26:00,349.7
137,Агроторг,2018-01-06 14:25:00,1140.91
138,АТАК,2018-01-04 14:52:00,773.4
139,Не известно,2017-12-26 16:08:00,4256.0
140,Не известно,2018-01-06 12:22:00,328.0
141,ИП Моисеева Е.В.,2017-12-18 12:47:00,277.88
142,МАКДОНАЛДС,2018-01-06 14:45:43,332.0
143,Стимул,2018-01-06 14:35:00,106.4
144,Лента,2018-01-06 14:15:00,4817.0
145,Теремок-Инвест,2018-01-06 14:33:54,107.0
146,Не известно,2018-01-06 15:22:00,411.99
147,,2018-01-06 15:10:00,826.0
148,Тандер,2017-12-31 15:38:00,148.0
152,Бургер Рус,2018-01-04 16:33:00,282.7
153,ФИКС-СУРГУТ,2018-01-05 17:00:00,463.1
154,Тандер,2018-01-05 17:55:00,458.05
155,Тандер,2018-01-06 17:52:00,451.6
156,Ампер,2018-01-05 18:29:00,8354.0
157,Леруа Мерлен Восток,2017-12-21 11:32:00,4189.0
158,Не известно,2018-01-06 11:59:00,296.61
159,Не известно,2018-01-06 17:37:00,3519.22
160,Аматус,2018-01-06 17:26:41,791.4
168,Бэст Прайс,2018-01-06 17:07:00,201.0
169,Санги Стиль,2018-01-06 16:07:00,220.6
170,Тандер,2018-01-06 18:30:00,770.3
171,Тандер,2018-01-06 19:24:00,880.77
172,Агроторг,2018-01-06 20:32:00,780.0
173,Сибторг,2018-01-06 18:51:00,3897.0
174,Лента,2018-01-06 16:43:00,1961.0
175,Бализа,2017-11-30 19:23:00,189.24
176,Не известно,2018-01-03 20:46:00,471.0
177,KАРИ,2017-11-24 20:41:00,7007.0
178,,2017-12-20 19:07:00,1085.0
180,Не известно,2018-01-06 20:33:00,764.39
181,МУЛЬТИОПТИКА-8,2018-01-04 15:45:00,16502.0
182,Не известно,2018-01-06 22:23:00,280.7
183,,2018-01-05 17:44:00,96.79
184,,2018-01-05 17:53:00,132.6
185,Сириус,2017-12-30 15:05:00,860.0
186,ИП ГАСРАТОВ И.О.,2017-12-25 20:22:00,189.0
187,Лента,2017-12-29 20:25:00,6318.0
188,Тандер,2017-12-26 19:51:00,3058.89
189,Тандер,2017-09-18 18:22:00,1784.0
190,Тандер,2017-09-20 09:40:00,657.0
191,Ассорти-Юг,2017-09-22 18:18:00,107.0
